date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:07:17	72400/72400	---M--	200	added ('OK')	text/html	date:Mon,%2012%20Aug%202024%2010:27:22%20GMT	https://demo.awaikenthemes.com/html-preview/dentaire/index.html	C:/My%20Web%20Sites/samples/clinic/demo.awaikenthemes.com/html-preview/dentaire/index.html	(from )
20:07:18	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Oct%202024%2014:37:16%20GMT	https://demo.awaikenthemes.com/robots.txt		(from )
20:07:18	602/602	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Jul%202024%2022:00:54%20GMT	https://demo.awaikenthemes.com/html-preview/dentaire/images/favicon.png	C:/My%20Web%20Sites/samples/clinic/demo.awaikenthemes.com/html-preview/dentaire/images/favicon.png	(from https://demo.awaikenthemes.com/html-preview/dentaire/index.html)
20:07:18	2505/2505	---M--	200	added ('OK')	text/css	date:Tue,%2027%20Sep%202016%2006:18:44%20GMT	https://demo.awaikenthemes.com/html-preview/dentaire/css/slicknav.min.css	C:/My%20Web%20Sites/samples/clinic/demo.awaikenthemes.com/html-preview/dentaire/css/slicknav.min.css	(from https://demo.awaikenthemes.com/html-preview/dentaire/index.html)
20:07:19	18441/18441	---M--	200	added ('OK')	text/css	date:Tue,%2018%20Jul%202023%2022:23:10%20GMT	https://demo.awaikenthemes.com/html-preview/dentaire/css/swiper-bundle.min.css	C:/My%20Web%20Sites/samples/clinic/demo.awaikenthemes.com/html-preview/dentaire/css/swiper-bundle.min.css	(from https://demo.awaikenthemes.com/html-preview/dentaire/index.html)
20:07:19	232803/232803	---M--	200	added ('OK')	text/css	date:Wed,%2021%20Feb%202024%2003:34:44%20GMT	https://demo.awaikenthemes.com/html-preview/dentaire/css/bootstrap.min.css	C:/My%20Web%20Sites/samples/clinic/demo.awaikenthemes.com/html-preview/dentaire/css/bootstrap.min.css	(from https://demo.awaikenthemes.com/html-preview/dentaire/index.html)
20:07:20	140292/140292	---M--	200	added ('OK')	text/css	date:Wed,%2002%20Aug%202023%2000:27:00%20GMT	https://demo.awaikenthemes.com/html-preview/dentaire/css/all.css	C:/My%20Web%20Sites/samples/clinic/demo.awaikenthemes.com/html-preview/dentaire/css/all.css	(from https://demo.awaikenthemes.com/html-preview/dentaire/index.html)
20:07:20	6951/6951	---M--	200	added ('OK')	text/css	date:Sat,%2026%20Feb%202022%2005:50:42%20GMT	https://demo.awaikenthemes.com/html-preview/dentaire/css/magnific-popup.css	C:/My%20Web%20Sites/samples/clinic/demo.awaikenthemes.com/html-preview/dentaire/css/magnific-popup.css	(from https://demo.awaikenthemes.com/html-preview/dentaire/index.html)
20:07:20	76809/76809	---M--	200	added ('OK')	text/css	date:Sat,%2022%20Jul%202023%2018:49:44%20GMT	https://demo.awaikenthemes.com/html-preview/dentaire/css/animate.css	C:/My%20Web%20Sites/samples/clinic/demo.awaikenthemes.com/html-preview/dentaire/css/animate.css	(from https://demo.awaikenthemes.com/html-preview/dentaire/index.html)
20:07:20	6914/6914	---M--	200	added ('OK')	text/css	date:Wed,%2010%20Jul%202024%2019:32:50%20GMT	https://demo.awaikenthemes.com/html-preview/dentaire/css/mousecursor.css	C:/My%20Web%20Sites/samples/clinic/demo.awaikenthemes.com/html-preview/dentaire/css/mousecursor.css	(from https://demo.awaikenthemes.com/html-preview/dentaire/index.html)
